,MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY,NUMBER_OF_MEGA_MEALS,AVERAGE_MEGA_MEAL_SIZE,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
252,FEDXDM8,M,PR,2.0,CAS20,193,2.838709677419355,1.0,31,1.3550760712507741,18,0.7868183639520624,13,6.6923076923076925,1.0,1.0,1.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0
253,FEDXDM9,M,PR,2.0,CAS20,213,2.8275862068965516,1.0,29,1.265669325703756,16,0.6983003176296584,16,7.1875,0.0,4.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
254,FEDXDM10,M,PR,2.0,CAS20,161,2.6666666666666665,1.0,30,1.3439522150323544,14,0.627177700348432,8,8.375,3.0,4.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0
255,FEDXDM1,M,PR,2.0,SUC,62,2.2666666666666666,1.0,15,0.6873114666463018,28,1.2829814044064303,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
256,FEDXDM2,M,PR,2.0,SUC,25,2.0,1.0,3,0.14353685441641637,10,0.4784561813880545,1,9.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,FEDXDM3,M,PR,2.0,SUC,39,2.0,1.0,5,0.21680739072305266,23,0.9973139973260423,1,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
258,FEDXDM4,M,PR,2.0,SUC,48,2.0833333333333335,1.0,12,0.5492339965672876,23,1.0526984934206345,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
259,FEDXDM5,M,PR,2.0,SUC,49,2.7142857142857144,1.0,14,0.6084898826483798,6,0.260781378277877,1,5.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
260,FEDXDM6,M,PR,2.0,SUC,54,2.25,1.0,12,0.5896725406423609,21,1.0319269461241316,1,6.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
261,FEDXDM7,M,PR,2.0,SUC,48,2.0,1.0,4,0.17557121607452023,40,1.7557121607452022,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,FEDXDM8,M,PR,2.0,SUC,47,2.1,1.0,10,0.4364694471387003,26,1.1348205625606207,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
263,FEDXDM9,M,PR,2.0,SUC,13,3.0,1.0,2,0.11225444340505143,7,0.39289055191768,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
264,FEDXDM10,M,PR,2.0,SUC,55,2.176470588235294,1.0,17,0.7623983157475117,18,0.8072452754973654,0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
265,FEDXDM1,M,PR,3.0,CAS5,167,2.58974358974359,1.0,39,1.7293409043319743,24,1.064209787281215,7,6.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
266,FEDXDM2,M,PR,3.0,CAS5,196,2.8823529411764706,1.0,34,1.4965703595926,22,0.9683690562069766,11,6.909090909090909,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,4.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,1.0
267,FEDXDM3,M,PR,3.0,CAS5,218,2.744186046511628,1.0,43,1.885069228802104,18,0.7890987469404157,14,5.857142857142857,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,6.0,3.0,2.0,1.0,0.0,4.0
