GROUP_KEY,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY,TOTAL_PELLETS
FEDXDF14_F_NR_2.0,6.0,1.52,6,0.2673532032874542,100,4.45588672145757,188
FEDXDF14_F_NR_3.0,6.0,1.2881355932203389,1,0.04412954473019687,118,5.207286278163231,158
FEDXDF14_F_NR_4.0,0.0,1.1544715447154472,0,0.0,123,5.347955264619919,142
FEDXDF15_F_NR_1.0,5.0,1.425531914893617,1,0.04230118443316413,141,5.964467005076142,206
FEDXDF15_F_NR_2.0,5.0,1.6504065040650406,3,0.13698108899965755,123,5.616224648985959,218
FEDXDF15_F_NR_3.0,5.0,1.346774193548387,1,0.044262476485559366,124,5.488547084209361,172
FEDXDF15_F_NR_4.0,5.0,1.046875,1,0.04369780539910662,128,5.593319091085648,139
FEDXDF16_F_NR_1.0,5.5,1.6759259259259258,4,0.17077393799957305,108,4.610896325988473,203
FEDXDF16_F_NR_2.0,5.6,1.5816326530612246,5,0.21146864977267119,98,4.144785535544355,183
FEDXDF16_F_NR_3.0,5.0,1.3,2,0.08932337543110934,120,5.35940252586656,166
FEDXDF16_F_NR_4.0,0.0,1.0887096774193548,0,0.0,124,5.437139168351563,135
FEDXDF17_F_NR_1.0,0.0,1.6403508771929824,0,0.0,114,4.992032696354503,187
FEDXDF17_F_NR_2.0,5.25,1.7755102040816326,4,0.1695054912716443,98,4.152884536155286,195
FEDXDF17_F_NR_3.0,0.0,1.504201680672269,0,0.0,119,5.392817130125002,179
FEDXDF17_F_NR_4.0,0.0,1.1810344827586208,0,0.0,116,5.1566378128743064,137
FEDXDF18_F_NR_1.0,0.0,1.3178807947019868,0,0.0,151,6.474280337767826,199
FEDXDF18_F_NR_2.0,0.0,1.28,0,0.0,150,6.35204441725874,192
FEDXDF18_F_NR_3.0,0.0,1.1890243902439024,0,0.0,164,7.38166087369658,195
FEDXDF18_F_NR_4.0,0.0,1.0413793103448277,0,0.0,145,6.368416557883051,151
FEDXDF19_F_NR_1.0,0.0,1.796116504854369,0,0.0,103,4.420969799577933,185
FEDXDF19_F_NR_2.0,5.0,1.8823529411764706,3,0.1273134504302723,85,3.6072144288577155,175
FEDXDF19_F_NR_3.0,5.0,1.4695652173913043,1,0.0450489907774705,115,5.180633939409107,174
FEDXDF19_F_NR_4.0,0.0,1.2142857142857142,0,0.0,126,5.669503918407139,153
FEDXDF20_F_NR_1.0,5.666666666666667,1.5357142857142858,3,0.12872313798405263,112,4.805663818071298,189
FEDXDF20_F_NR_2.0,6.0,1.5798319327731092,2,0.08513355326167926,119,5.065446419069916,200
FEDXDF20_F_NR_3.0,0.0,1.4047619047619047,0,0.0,126,5.6682286785379565,177
FEDXDF20_F_NR_4.0,0.0,1.0833333333333333,0,0.0,108,4.875357375733561,117
FEDXDM1_M_PR_1.0,5.8,1.7027027027027026,5,0.22220576253610846,111,4.932967928301608,218
FEDXDM1_M_PR_2.0,5.5,1.4198473282442747,2,0.09018826800946977,131,5.90733155462027,197
FEDXDM1_M_PR_3.0,5.666666666666667,1.5555555555555556,6,0.26365256450943536,108,4.745746161169836,202
FEDXDM1_M_PR_4.0,5.0,1.1574803149606299,1,0.04487155517331638,127,5.698687507011181,152
FEDXDM2_M_PR_1.0,7.0,1.7121212121212122,12,0.538391555228754,66,2.9611535537581473,197
FEDXDM2_M_PR_2.0,7.6923076923076925,1.5,13,0.5625676163000362,66,2.8561125135232603,199
FEDXDM2_M_PR_3.0,7.4,1.5333333333333334,5,0.2200838764106765,105,4.621761404624206,198
FEDXDM2_M_PR_4.0,5.0,1.0964912280701755,2,0.09075897190253494,114,5.173261398444492,135
FEDXDM3_M_PR_1.0,5.833333333333333,1.5080645161290323,6,0.2648454455166325,124,5.473472540677072,222
FEDXDM3_M_PR_2.0,6.0,1.4609375,5,0.21680739072305266,128,5.550269202510148,217
FEDXDM3_M_PR_3.0,5.5,1.5510204081632653,2,0.08767763854893508,147,6.444306433346728,239
FEDXDM3_M_PR_4.0,0.0,1.1126760563380282,0,0.0,142,6.357181052814845,158
FEDXDM4_M_PR_1.0,6.8,1.4587155963302751,5,0.2217322213873046,109,4.83376242624324,193
FEDXDM4_M_PR_2.0,5.555555555555555,1.5405405405405406,9,0.3905214184123617,111,4.816430827085795,221
FEDXDM4_M_PR_3.0,6.0,1.4864864864864864,9,0.39238007581170603,111,4.839354268344374,219
FEDXDM4_M_PR_4.0,5.0,1.0756302521008403,3,0.1342932816055508,119,5.326966837020181,143
FEDXDM5_M_PR_1.0,5.8,1.8795180722891567,10,0.440911707430587,83,3.659567171673872,214
FEDXDM5_M_PR_2.0,8.307692307692308,1.8656716417910448,13,0.565026319602067,67,2.9120587241029603,233
FEDXDM5_M_PR_3.0,6.833333333333333,1.9655172413793103,12,0.5257969109431483,58,2.5413517362252165,196
FEDXDM5_M_PR_4.0,5.0,1.2,1,0.044721052435433985,110,4.919315767897738,137
FEDXDM6_M_PR_1.0,7.666666666666667,1.719626168224299,6,0.26872690628149143,107,4.792296495353264,230
FEDXDM6_M_PR_2.0,6.0,1.515625,4,0.17328311331993598,128,5.5450596262379515,218
FEDXDM6_M_PR_3.0,5.0,1.4788732394366197,2,0.08645740771872523,142,6.138475948029491,220
FEDXDM6_M_PR_4.0,5.0,1.0916030534351144,1,0.04427771969743558,131,5.8003812803640615,148
FEDXDM7_M_PR_1.0,6.333333333333333,1.6574074074074074,3,0.1337544120378971,108,4.815158833364295,198
FEDXDM7_M_PR_2.0,5.0,1.382716049382716,1,0.043517679057116954,162,7.049864007252946,229
FEDXDM7_M_PR_3.0,0.0,1.2814814814814814,0,0.0,135,5.789711943961306,173
FEDXDM7_M_PR_4.0,0.0,1.0454545454545454,0,0.0,110,4.878349245457345,115
FEDXDM8_M_PR_1.0,7.0,1.5436893203883495,6,0.2678305723638528,103,4.597758158912806,201
FEDXDM8_M_PR_2.0,9.0,1.5454545454545454,4,0.17445875383142923,132,5.757138876437164,240
FEDXDM8_M_PR_3.0,5.777777777777778,1.4907407407407407,9,0.3856729636110417,108,4.6280755633325,213
FEDXDM8_M_PR_4.0,0.0,1.0984848484848484,0,0.0,132,6.197506390526371,145
FEDXDM9_M_PR_1.0,6.4,1.8214285714285714,20,0.8939435325668595,56,2.5030418911872068,230
FEDXDM9_M_PR_2.0,7.666666666666667,1.7840909090909092,9,0.39279392866668283,88,3.8406517469631214,226
FEDXDM9_M_PR_3.0,6.428571428571429,1.4957264957264957,7,0.30060837409042107,117,5.024454252654181,220
FEDXDM9_M_PR_4.0,0.0,1.146788990825688,0,0.0,109,4.824016817673309,125
FEDXDM10_M_PR_1.0,5.5,1.8101265822784811,6,0.2703954533505251,79,3.560206802448581,176
FEDXDM10_M_PR_2.0,9.6,1.68,5,0.2229930624380575,100,4.4598612487611495,216
FEDXDM10_M_PR_3.0,5.6,1.5089285714285714,5,0.21455902161086146,112,4.806122084083297,197
FEDXDM10_M_PR_4.0,0.0,1.108910891089109,0,0.0,101,4.510662581101365,112
FEDXDM11_M_NR_1.0,6.5,1.7258064516129032,8,0.3845280852370589,62,2.9800926605872067,159
FEDXDM11_M_NR_2.0,5.857142857142857,1.859375,7,0.3054767619463234,64,2.7929303949378137,160
FEDXDM11_M_NR_3.0,6.833333333333333,1.935483870967742,6,0.26314507090297745,62,2.7191657326641,161
FEDXDM11_M_NR_4.0,7.333333333333333,1.2804878048780488,6,0.26978417266187055,82,3.6870503597122304,149
FEDXDM12_M_NR_1.0,5.25,1.6170212765957446,4,0.1849283402681461,94,4.345815996301433,173
FEDXDM12_M_NR_2.0,0.0,1.4051724137931034,0,0.0,116,5.086294045284581,163
FEDXDM12_M_NR_3.0,5.0,1.2678571428571428,1,0.04371531614673775,112,4.896115408434628,147
FEDXDM12_M_NR_4.0,5.0,1.0980392156862746,1,0.04493035794518496,102,4.582896510408866,117
FEDXDM13_M_NR_1.0,5.0,1.6336633663366336,1,0.04471494224319961,101,4.5162091665631605,170
FEDXDM13_M_NR_2.0,5.875,1.7195121951219512,8,0.35187176229107614,82,3.60668556348353,188
FEDXDM13_M_NR_3.0,6.0,1.5408163265306123,2,0.08805616026221168,98,4.314751852848373,163
FEDXDM13_M_NR_4.0,5.0,1.1935483870967742,1,0.04526764495077143,93,4.2098909804217435,116
FEDXDM14_M_NR_1.0,5.857142857142857,1.875,7,0.32088421427934755,72,3.300523346873289,176
FEDXDM14_M_NR_2.0,7.0,1.7325581395348837,6,0.26247675987021984,86,3.762166891473151,191
FEDXDM14_M_NR_3.0,6.333333333333333,1.4878048780487805,6,0.26529108327192336,82,3.625644804716286,160
FEDXDM14_M_NR_4.0,6.333333333333333,1.125,3,0.13462976813762154,104,4.667165295437546,136
FEDXDM15_M_NR_1.0,7.0,1.4895833333333333,3,0.13352785539427808,96,4.272891372616899,164
FEDXDM15_M_NR_2.0,8.75,1.6129032258064515,4,0.1756204646624794,93,4.083175803402646,185
FEDXDM15_M_NR_3.0,6.875,1.547945205479452,8,0.3506849315068493,73,3.2,168
FEDXDM15_M_NR_4.0,6.0,1.1545454545454545,2,0.09118310073199766,110,5.015070540259871,139
FEDXDM16_M_NR_1.0,6.0,1.6444444444444444,3,0.13433002898045998,90,4.029900869413799,166
FEDXDM16_M_NR_2.0,6.0,1.5,3,0.13081078462246554,98,4.273152297667208,165
FEDXDM16_M_NR_3.0,6.333333333333333,1.5454545454545454,3,0.12853317465040165,99,4.2415947634632545,172
FEDXDM16_M_NR_4.0,6.0,1.1132075471698113,2,0.08758058630336941,106,4.641771074078579,130
FEDXDM17_M_NR_1.0,7.666666666666667,1.6547619047619047,6,0.2705851403660416,84,3.7881919651245823,185
FEDXDM17_M_NR_2.0,6.0,1.6162790697674418,5,0.2178464666513367,86,3.7469592264029914,169
FEDXDM17_M_NR_3.0,5.8,1.45,5,0.21574973031283715,100,4.314994606256743,174
FEDXDM17_M_NR_4.0,5.0,1.19,2,0.08783379893379527,100,4.391689946689763,129
FEDXDM18_M_NR_3.0,5.0,1.4423076923076923,1,0.04343943818326617,104,4.517701571059681,155
FEDXDM18_M_NR_4.0,5.0,1.194915254237288,2,0.08855652858407949,118,5.22483518646069,151
FEDXDM19_M_NR_1.0,7.666666666666667,1.4854368932038835,3,0.1348146298839096,103,4.62863562601423,176
FEDXDM19_M_NR_2.0,7.2,1.4622641509433962,5,0.2185447348930952,106,4.633148379733618,191
FEDXDM19_M_NR_3.0,6.0,1.4363636363636363,1,0.04302360322677024,110,4.732596354944726,164
FEDXDM19_M_NR_4.0,6.0,1.0660377358490567,1,0.04395067757294592,106,4.658771822732267,119
FEDXDM20_M_NR_1.0,7.666666666666667,1.5,3,0.13597904915390813,88,3.988718775181305,155
FEDXDM20_M_NR_2.0,5.666666666666667,1.471264367816092,3,0.13226703244216378,87,3.83574394082275,145
FEDXDM20_M_NR_3.0,5.0,1.404040404040404,2,0.08666137069401314,99,4.28973784935365,149
FEDXDM20_M_NR_4.0,0.0,1.127906976744186,0,0.0,86,3.878435597424398,97
