MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY
FEDXDM16,M,NR,2,SUC,55,0,2.255813953488372,0,0,43,1.8749545795886728
FEDXDM17,M,NR,2,SUC,42,0,2.28125,0,0,32,1.4117301046542978
FEDXDM19,M,NR,2,SUC,75,75,2.272727272727273,1,0.043708947,55,2.403992083824047
FEDXDM20,M,NR,2,SUC,61,61,2.302325581395349,1,0.044585356,43,1.917170316060636
FEDXDM11,M,NR,3,CAS5,136,11.333333333333334,2.707317073170732,12,0.5262901418059549,41,1.798157984503679
FEDXDM12,M,NR,3,CAS5,122,122,2.2083333333333335,1,0.043955507,96,4.219728696841309
FEDXDM13,M,NR,3,CAS5,119,39.666666666666664,2.4571428571428573,3,0.13211655616176937,70,3.0827196437746185
FEDXDM14,M,NR,3,CAS5,140,23.333333333333332,2.5223880597014925,6,0.26529108327192336,67,2.9624170965364773
FEDXDM15,M,NR,3,CAS5,156,15.6,2.4761904761904763,10,0.4383561643835616,63,2.7616438356164386
FEDXDM16,M,NR,3,CAS5,134,33.5,2.5405405405405403,4,0.17137756620053554,74,3.1704849747099075
FEDXDM17,M,NR,3,CAS5,138,19.714285714285715,2.449275362318841,7,0.3024338725937305,69,2.9811338869953437
FEDXDM18,M,NR,3,CAS5,132,44,2.383720930232558,3,0.1303183145497985,86,3.7357916837608904
FEDXDM19,M,NR,3,CAS5,130,26,2.367088607594937,5,0.2151180161338512,79,3.3988646549148487
FEDXDM20,M,NR,3,CAS5,118,59,2.3974358974358974,2,0.086661371,78,3.3797934570665125
FEDXDM11,M,NR,3,SUC,25,25,2.4285714285714284,1,0.048192771,14,0.6746987951807228
FEDXDM12,M,NR,3,SUC,25,0,2.0434782608695654,0,0,23,1.1240073304825902
FEDXDM13,M,NR,3,SUC,44,44,2.21875,1,0.044135495972635996,32,1.4123358711243519
FEDXDM14,M,NR,3,SUC,20,0,2,0,0,19,0.8638326892475562
FEDXDM15,M,NR,3,SUC,12,0,1.9166666666666667,0,0,12,0.5568445475638051
FEDXDM16,M,NR,3,SUC,38,38,2.103448275862069,1,0.043324427756516716,29,1.2564084049389848
FEDXDM17,M,NR,3,SUC,36,0,2.129032258064516,0,0,31,1.3630700832987275
FEDXDM18,M,NR,3,SUC,23,0,2.2222222222222223,0,0,18,0.8281679340532943
FEDXDM19,M,NR,3,SUC,34,0,2.03125,0,0,32,1.4437899486151147
FEDXDM20,M,NR,3,SUC,31,31,2.04,1,0.044403877938673314,25,1.1100969484668328
FEDXDM11,M,NR,4,CAS5,105,13.125,2.076923076923077,8,0.3619591036484975,52,2.3527341737152336
FEDXDM12,M,NR,4,CAS5,74,74,2.078125,1,0.044930358,64,2.8755429084918376
FEDXDM13,M,NR,4,CAS5,75,37.5,2.1016949152542375,2,0.09053529,59,2.6707910520955145
FEDXDM14,M,NR,4,CAS5,78,26,2.0327868852459017,3,0.13502362913509863,61,2.745480459080339
FEDXDM15,M,NR,4,CAS5,91,30.333333333333332,2.0416666666666665,3,0.1369307231970788,72,3.2863373567298915
FEDXDM16,M,NR,4,CAS5,78,78,2.0757575757575757,1,0.043914756578064575,66,2.898373934152262
FEDXDM17,M,NR,4,CAS5,77,77,2.180327868852459,1,0.043916899466897634,61,2.678930867480756
FEDXDM18,M,NR,4,CAS5,106,106,2.1627906976744184,1,0.044278264292039744,86,3.807930729115418
FEDXDM19,M,NR,4,CAS5,70,70,2.015873015873016,1,0.043950678,63,2.768892687095593
FEDXDM20,M,NR,4,CAS5,58,0,2.0961538461538463,0,0,52,2.3462762890732707
FEDXDM11,M,NR,4,SUC,44,0,2.1621621621621623,0,0,37,1.668482958175191
FEDXDM12,M,NR,4,SUC,43,0,1.9767441860465116,0,0,43,1.960585642636405
FEDXDM13,M,NR,4,SUC,41,0,2,0,0,40,1.8202963037872277
FEDXDM14,M,NR,4,SUC,58,0,2.0555555555555554,0,0,54,2.4233358264771874
FEDXDM15,M,NR,4,SUC,48,48,2.048780487804878,1,0.04600345,41,1.8861414606095457
FEDXDM16,M,NR,4,SUC,52,52,2,1,0.044086311,46,2.027970315217125
FEDXDM17,M,NR,4,SUC,52,0,2.02,0,0,50,2.2280260926611293
FEDXDM18,M,NR,4,SUC,45,0,2.073170731707317,0,0,41,1.832106550153296
FEDXDM19,M,NR,4,SUC,49,0,1.9795918367346939,0,0,49,2.1858736059479553
FEDXDM20,M,NR,4,SUC,39,0,2,0,0,38,1.7172985187044942
