,MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY,NUMBER_OF_MEGA_MEALS,AVERAGE_MEGA_MEAL_SIZE,MEGA_MEAL_FREQUENCY,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
230,FEDXDM6,M,PR,1.0,CAS20,121,3.1538461538461537,1.0,26,1.1771808028976758,39,1.7657712043465137,1,6.0,0.04527618472683369,3.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0
231,FEDXDM7,M,PR,1.0,CAS20,123,2.8518518518518516,1.0,27,1.2037897083410738,46,2.0509009845810886,1,6.0,0.04458480401263236,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,3.0,1.0
232,FEDXDM8,M,PR,1.0,CAS20,153,2.810810810810811,1.0,37,1.6516218629104256,49,2.1872830076381313,2,8.5,0.08927685745461761,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0
233,FEDXDM9,M,PR,1.0,CAS20,160,4.0,1.0,36,1.6158996546263855,16,0.7181776242783936,6,7.666666666666667,0.2693166091043976,2.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,0.0,4.0,3.0,0.0,1.0,0.0,2.0
234,FEDXDM10,M,PR,1.0,CAS20,85,2.6956521739130435,1.0,23,1.0382965916785794,23,1.0382965916785794,0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
235,FEDXDM1,M,PR,1.0,CAS5,86,2.473684210526316,1.0,19,0.8443818976372122,39,1.733204947781646,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0
236,FEDXDM2,M,PR,1.0,CAS5,43,2.3846153846153846,1.0,13,0.6367433570524769,12,0.587763098817671,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
237,FEDXDM3,M,PR,1.0,CAS5,40,2.0,1.0,6,0.2788860053453151,28,1.3014680249448036,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
238,FEDXDM4,M,PR,1.0,CAS5,51,2.3333333333333335,1.0,12,0.5481120584652862,23,1.0505481120584652,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
239,FEDXDM5,M,PR,1.0,CAS5,114,2.875,1.0,32,1.416347005016229,22,0.9737385659486574,1,6.0,0.04426084390675716,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0
