MOUSE ID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,GROUP_KEY,MEAL_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,HOURLY_MEALS,TOTAL_PELLETS,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
FEDXDM7,M,PR,3.0,,FEDXDM7_M_PR_3.0,1.2814814814814814,135,5.789711943961306,"[8.0, 3.0, 7.0, 6.0, 10.0, 12.0, 7.0, 1.0, 5.0, 2.0, 4.0, 1.0, 5.0, 11.0, 9.0, 3.0, 9.0, 1.0, 13.0, 8.0, 8.0, 2.0, 0.0, 0.0]",173,8.0,3.0,7.0,6.0,10.0,12.0,7.0,1.0,5.0,2.0,4.0,1.0,5.0,11.0,9.0,3.0,9.0,1.0,13.0,8.0,8.0,2.0,0.0,0.0
FEDXDM7,M,PR,4.0,,FEDXDM7_M_PR_4.0,1.0454545454545454,110,4.878349245457345,"[1.0, 4.0, 2.0, 3.0, 6.0, 7.0, 5.0, 2.0, 0.0, 4.0, 3.0, 2.0, 4.0, 10.0, 8.0, 6.0, 8.0, 6.0, 7.0, 7.0, 4.0, 4.0, 5.0, 2.0]",115,1.0,4.0,2.0,3.0,6.0,7.0,5.0,2.0,0.0,4.0,3.0,2.0,4.0,10.0,8.0,6.0,8.0,6.0,7.0,7.0,4.0,4.0,5.0,2.0
FEDXDM8,M,PR,1.0,,FEDXDM8_M_PR_1.0,1.8440366972477065,109,4.8655887312766595,"[3.0, 4.0, 2.0, 8.0, 9.0, 5.0, 0.0, 3.0, 3.0, 0.0, 3.0, 5.0, 6.0, 9.0, 8.0, 5.0, 6.0, 8.0, 8.0, 2.0, 2.0, 1.0, 4.0, 5.0]",201,3.0,4.0,2.0,8.0,9.0,5.0,0.0,3.0,3.0,0.0,3.0,5.0,6.0,9.0,8.0,5.0,6.0,8.0,8.0,2.0,2.0,1.0,4.0,5.0
FEDXDM8,M,PR,2.0,,FEDXDM8_M_PR_2.0,1.7647058823529411,136,5.931597630268594,"[2.0, 3.0, 4.0, 11.0, 10.0, 13.0, 7.0, 0.0, 6.0, 0.0, 5.0, 4.0, 5.0, 8.0, 13.0, 12.0, 5.0, 2.0, 5.0, 10.0, 1.0, 6.0, 0.0, 4.0]",240,2.0,3.0,4.0,11.0,10.0,13.0,7.0,0.0,6.0,0.0,5.0,4.0,5.0,8.0,13.0,12.0,5.0,2.0,5.0,10.0,1.0,6.0,0.0,4.0
FEDXDM8,M,PR,3.0,,FEDXDM8_M_PR_3.0,1.8205128205128205,117,5.013748526943542,"[2.0, 4.0, 5.0, 6.0, 9.0, 9.0, 0.0, 2.0, 2.0, 2.0, 4.0, 2.0, 7.0, 8.0, 10.0, 9.0, 4.0, 5.0, 6.0, 6.0, 2.0, 7.0, 2.0, 4.0]",213,2.0,4.0,5.0,6.0,9.0,9.0,0.0,2.0,2.0,2.0,4.0,2.0,7.0,8.0,10.0,9.0,4.0,5.0,6.0,6.0,2.0,7.0,2.0,4.0
FEDXDM8,M,PR,4.0,,FEDXDM8_M_PR_4.0,1.0984848484848484,132,6.197506390526371,"[4.0, 0.0, 0.0, 5.0, 9.0, 8.0, 6.0, 3.0, 0.0, 5.0, 7.0, 5.0, 7.0, 8.0, 7.0, 7.0, 8.0, 7.0, 7.0, 8.0, 6.0, 6.0, 5.0, 4.0]",145,4.0,0.0,0.0,5.0,9.0,8.0,6.0,3.0,0.0,5.0,7.0,5.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,6.0,6.0,5.0,4.0
FEDXDM9,M,PR,1.0,,FEDXDM9_M_PR_1.0,3.026315789473684,76,3.3969854237540664,"[5.0, 2.0, 0.0, 9.0, 7.0, 11.0, 6.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 4.0, 5.0, 4.0, 3.0, 0.0, 5.0, 3.0, 0.0, 1.0, 1.0, 2.0]",230,5.0,2.0,0.0,9.0,7.0,11.0,6.0,2.0,1.0,0.0,1.0,2.0,2.0,4.0,5.0,4.0,3.0,0.0,5.0,3.0,0.0,1.0,1.0,2.0
FEDXDM9,M,PR,2.0,,FEDXDM9_M_PR_2.0,2.329896907216495,97,4.233445675629804,"[0.0, 5.0, 3.0, 4.0, 12.0, 10.0, 3.0, 0.0, 2.0, 1.0, 0.0, 1.0, 5.0, 8.0, 11.0, 7.0, 2.0, 0.0, 5.0, 5.0, 1.0, 5.0, 0.0, 7.0]",226,0.0,5.0,3.0,4.0,12.0,10.0,3.0,0.0,2.0,1.0,0.0,1.0,5.0,8.0,11.0,7.0,2.0,0.0,5.0,5.0,1.0,5.0,0.0,7.0
FEDXDM9,M,PR,3.0,,FEDXDM9_M_PR_3.0,1.7741935483870968,124,5.325062626744602,"[2.0, 5.0, 8.0, 6.0, 9.0, 8.0, 7.0, 1.0, 2.0, 0.0, 1.0, 1.0, 4.0, 6.0, 11.0, 11.0, 3.0, 6.0, 6.0, 7.0, 5.0, 0.0, 7.0, 8.0]",220,2.0,5.0,8.0,6.0,9.0,8.0,7.0,1.0,2.0,0.0,1.0,1.0,4.0,6.0,11.0,11.0,3.0,6.0,6.0,7.0,5.0,0.0,7.0,8.0
FEDXDM9,M,PR,4.0,,FEDXDM9_M_PR_4.0,1.146788990825688,109,4.824016817673309,"[4.0, 5.0, 1.0, 3.0, 7.0, 7.0, 3.0, 3.0, 1.0, 0.0, 3.0, 2.0, 7.0, 8.0, 7.0, 6.0, 7.0, 8.0, 6.0, 4.0, 3.0, 5.0, 4.0, 5.0]",125,4.0,5.0,1.0,3.0,7.0,7.0,3.0,3.0,1.0,0.0,3.0,2.0,7.0,8.0,7.0,6.0,7.0,8.0,6.0,4.0,3.0,5.0,4.0,5.0
